0.290722562092*NBA 0.204984783451*热火 0.175740862457*篮球 0.1675990554*实力 0.160952736599*切换
0.47651499215*世界杯 0.221818006836*巴西 0.127474807707*足球 0.0929799069658*西班牙 0.0812122863414*球迷
0.210978798041*预测 0.200779942082*德国 0.197480164374*巴西 0.196180359463*进入 0.19458073604*夺冠
0.526420455651*粽子 0.203042888872*活动 0.111273401975*新疆 0.0808454856992*文化 0.0784177678026*中国
0.310625076292*新疆 0.193068567222*会议 0.166195665145*社会 0.165799032284*推进 0.164311659057*研究
0.256082073341*马航 0.228518362701*世界杯 0.186787721633*公布 0.1692335064*马来西亚 0.159378335925*失联
0.277370041292*欧冠 0.277284689235*欧冠 0.180081958377*皇马 0.1384723206*决赛 0.126790990495*冠军
0.202521082018*粽子 0.201923401252*手机 0.200649659337*吃货 0.197582875124*现金 0.197322982269*专场
0.581544950195*新疆 0.184451810864*暴恐 0.0861298113983*中国 0.0752337453789*民族 0.0726396821636*爆炸
0.453340236885*归来 0.194098988735*电影 0.162684490036*舌尖 0.0969052730646*张艺谋 0.0929710112798*舌尖上的中国
