0.254369352157*奇谭 0.248159439167*古剑 0.247239407785*古剑 0.140295023662*小 0.109936777228*关注
0.324302852889*后会无期 0.191192064814*时代 0.173321061953*小 0.160556158469*电影 0.150627861875*韩寒
0.3840449216*小 0.382886324661*时代 0.0890265222149*电影 0.0829565396305*顾里 0.0610856918938*林萧
0.282150032753*古剑 0.281292727856*古剑 0.275715849589*奇谭 0.0817073117117*苏苏 0.0791340780895*电视剧
0.248373414312*后会无期 0.244541433145*时代 0.230772658062*小 0.138980645234*电影 0.137331849247*韩寒
0.246087230104*古剑 0.24302537599*奇谭 0.242345087272*古剑 0.138467053162*李易峰 0.130075253471*电视剧
0.318195169691*小 0.26724628849*时代 0.161867633893*电影 0.141297967094*后会无期 0.111392940831*喜欢
0.405428655624*小 0.282544143137*时代 0.142591744085*后会无期 0.0932513668037*电影 0.0761840903503*票房
0.203365216383*奇谭 0.200624538823*古剑 0.200277467157*古剑 0.198195988042*甄 0.197536789597*乐
0.354246711271*时代 0.346892316634*小 0.123187288339*后会无期 0.101734134314*电影 0.0739395494419*刺金
