0.263574011026*韩国 0.248996607815*客轮 0.226359199519*沉没 0.138912764414*海域 0.122157417226*乘客
0.220752206105*XP 0.209323252131*我是歌手 0.195104306544*保护 0.194564522175*明星 0.180255713045*歌手
0.250701643078*韩国 0.237246789715*客轮 0.199012850791*沉没 0.156713072972*旅客 0.156325643444*京畿道
0.472894218898*NBA 0.157327612862*球队 0.141856750803*比赛 0.117371454647*季后赛 0.11054996279*时间
0.294941898702*韩国 0.184591205438*扫黄打非 0.177189642209*沉没 0.174161929846*奶茶 0.169115323805*客轮
0.323191821448*文章 0.229842092992*打车 0.195511092696*中国 0.12651717998*用户 0.124937812885*XP
0.396063539938*兰州 0.175924939853*超标 0.162411237256*兰州市 0.144725539961*事件 0.120874742991*威立雅
0.237323552762*朋友 0.207949553662*投资 0.190348493141*白银 0.183238285506*选择 0.181140114929*XP
0.273073480459*连城 0.267416570549*宫锁 0.163684650613*抄袭 0.152616468125*琼瑶 0.143208830254*美剧
0.321497099509*马航 0.188930536963*中国 0.184705860479*客机 0.154625911052*搜寻 0.150240591998*失联
