0.3216012783*地震 0.216755746398*云南 0.183761230744*鲁甸 0.143420295999*鲁甸县 0.134461448558*救援
0.24473453011*中央 0.208360139739*巡视 0.184588564906*巡视组 0.183631143855*老虎 0.17868562139*地震
0.22701178424*昆山 0.210834019559*爆炸 0.194271430417*云南 0.185026897346*地震 0.182855868438*工厂
0.276332695609*马航 0.221560368264*珍惜 0.173107795094*暴力 0.169620903303*生命 0.15937823773*云南
0.316803468814*地震 0.208427221668*云南 0.166981667423*灾区 0.165564057911*鲁甸 0.142223584184*发生
0.383592607074*地震 0.219253766096*云南 0.15023965065*灾区 0.141334575153*鲁甸 0.105579401027*希望
0.288962467295*河南 0.261149549163*大旱 0.218014968739*地震 0.134966324899*云南 0.0969066899049*关注
0.372427036483*昆山 0.241098660664*爆炸 0.157631017474*事故 0.126498916116*中荣 0.102344369263*投资
0.398494494262*时代 0.172441872301*古剑 0.171580022535*奇谭 0.133163845383*后会无期 0.12431976552*地址
0.350393104483*地震 0.248621911024*云南 0.186150396856*鲁甸 0.10800437987*发生 0.106830207766*祈福
