0.21056523988*李晨 0.199688145601*票房 0.197960242345*男星 0.196164281631*喜剧 0.195622090544*侵案
0.202650145031*变化 0.201769120952*忙 0.199760293798*予疑 0.198033609608*马 0.197786830612*私人
0.206724041636*张馨 0.200453864755*复合 0.199178041416*谈 0.198540513337*订制 0.195103538856*光荣
0.232017210443*春晚 0.22136101613*节目 0.187615990447*马 0.179623844712*否认 0.179381938268*类型
0.465903832519*春晚 0.174608092129*直通 0.154220617663*我是歌手 0.113136426839*节目 0.0921310308494*张杰
0.222300029382*节目 0.199332615113*舞蹈 0.199232577337*春晚 0.19534649448*否认 0.183788283688*冯小刚
0.205727534637*侵案 0.20358965016*私人 0.198047630675*舞蹈 0.197513159556*宣布 0.195122024973*谈
0.206943321171*春晚 0.203581763978*马 0.198163907546*拍戏 0.196157184431*梁朝伟 0.195153822874*人海战术
0.408451478749*我是歌手 0.17348252196*邓紫棋 0.161341982304*唱 0.133052803635*曹格 0.123671213352*喜欢
0.2035975425*拍戏 0.203014222579*类型 0.199375273431*对不住 0.198139118779*出嫁 0.195873842711*林依晨
