0.272352857104*古剑 0.270296849247*奇谭 0.268471617782*古剑 0.0982076803957*李易峰 0.0906709954723*苏苏
0.248953858738*巡视组 0.204179012713*巡视 0.202984922024*中央 0.185672130526*公司 0.158210075999*中国
0.212698852089*冰桶 0.203076713813*挑战 0.200106908228*罕见 0.194820757696*病 0.189296768174*瓷娃娃
0.306848971903*冰桶 0.283708097853*挑战 0.17880309164*冻 0.136069581947*关注 0.0945702566569*患者
0.345585529964*冰桶 0.310511622949*挑战 0.119290963482*慈善 0.115129784227*活动 0.109482099378*参加
0.295222492424*冰桶 0.289826129286*挑战 0.175335858541*希望 0.146713091678*美国 0.0929024280713*经济
0.365889977276*挑战 0.353721339931*冰桶 0.100048484639*中国 0.0998902261729*冰水 0.0804499719811*关注
0.26177715984*冰桶 0.253297321562*挑战 0.171168489599*发起 0.166771759581*全球 0.146985269418*名人
0.270080558024*奇谭 0.268852365566*古剑 0.266175735166*古剑 0.113119375643*电视剧 0.0817719656002*微信
0.208346048258*黄金 0.207124566254*现货 0.200458076983*白银 0.192722684803*冰桶 0.191348623703*挑战
