0.340976904111*余额宝 0.220032247261*银行 0.153198737386*中国 0.147465301613*互联网 0.138326809628*金融
0.369957659264*马航 0.228928568494*飞机 0.226552037203*失联 0.100660923554*中国 0.0739008114851*事件
0.304367305513*马航 0.260502348127*失联 0.16331111676*飞机 0.151729700697*客机 0.120089528903*航班
0.529137541421*昆明 0.12289821775*事件 0.119386940473*昆明市 0.116145727668*火车站 0.112431572689*发生
0.274172155194*欧冠 0.255145905446*欧冠 0.188084885095*北京 0.164691802845*比赛 0.11790525142*巴萨
0.339500213403*欧冠 0.331291967773*欧冠 0.111730224756*决赛 0.109364994537*曼联 0.108112599531*比赛
0.391608886443*我是歌手 0.169304301699*昆明 0.149460432011*飞机 0.146069328351*东莞 0.143557051496*马航
0.294509442671*马航 0.22450987295*飞机 0.198725395857*国家 0.146274695415*马来西亚 0.135980593107*失踪
0.446503487345*打车 0.197235365415*司机 0.137222078024*昆明 0.114745432162*出租车 0.104293637054*软件
0.332167319836*马航 0.186617204126*事件 0.183806444861*马来西亚 0.15590313715*报道 0.141505894028*失联
