0.4771991244*地震 0.136120171746*台风 0.135896937591*鲁甸 0.132544230888*云南 0.118239535375*设备
0.306615784899*地震 0.208987061552*灾区 0.203103097225*鲁甸 0.160565000644*云南 0.12072905568*发生
0.289255073831*地震 0.212551376644*发生 0.175361972527*马航 0.167097613839*中国 0.155733963159*白银
0.246966833177*遇到 0.2377680417*朋友 0.177495446702*世界 0.175929787531*时代 0.161839890891*友情
0.287201569073*中国 0.1918461675*老虎 0.176217670314*官员 0.173726303998*落马 0.171008289114*处理
0.315461047724*后会无期 0.282431297665*时代 0.231211005875*电影 0.0878417895087*喜欢 0.0830548592268*韩寒
0.476757204694*地震 0.149676113003*海啸 0.147177536287*世界 0.113194573008*昆山 0.113194573008*应急
0.272311020642*马航 0.219041875607*乘客 0.173524400654*MH370 0.171139111893*马来西亚 0.163983591204*客机
0.268943451805*地震 0.190476395348*汶川 0.187784938742*社会 0.177018753791*教育 0.175776460313*准备
0.353395189108*地震 0.194869425886*云南 0.161322274349*鲁甸 0.148002180811*发生 0.142410929845*鲁甸县
