0.379977217955*李代沫 0.30344867719*吸毒 0.127516242073*声音 0.105081345813*歌手 0.0839765169691*明星
0.379984159275*打车 0.188029682967*东莞 0.168193389082*软件 0.132171804348*出租车 0.131620964329*司机
0.345832816556*马航 0.202840262501*失联 0.193189854193*飞机 0.131288363916*MH370 0.126848702835*马来西亚
0.296916748351*马航 0.231067032401*失联 0.202529523142*中国 0.142213723859*家属 0.127272972248*乘客
0.280037661989*马航 0.246652496701*东莞 0.182229169793*失联 0.147279152177*调查 0.143801519341*报道
0.389714801561*余额宝 0.162150156711*银行 0.158263116213*互联网 0.151599539485*理财 0.13827238603*市场
0.234504273899*失联 0.224099062052*马航 0.184372961235*客机 0.18318458624*澳大利亚 0.173839116573*发现
0.286155088875*欧冠 0.283575617954*欧冠 0.183524899184*曼联 0.131892984779*切尔西 0.114851409208*拜仁
0.206432245771*酒店 0.201570595946*情人 0.200074775471*马来西亚 0.196484681915*马航 0.195437700897*老婆
0.24744393325*欧冠 0.243554973944*欧冠 0.17343038032*回合 0.169792640857*主场 0.165778071629*曼联
