0.237633050718*马航 0.198953008113*珍惜 0.196605737801*文章 0.184374466046*失联 0.182433737322*横批
0.285059777244*马航 0.211797309624*文章 0.199586974485*马云 0.152810304717*姚笛 0.150745633929*余额宝
0.412656050026*文章 0.210438521504*马伊琍 0.136453501523*马航 0.12381282516*出轨 0.116639101786*中国
0.254017746442*马航 0.209433838182*美剧 0.208949361643*美剧 0.182457001953*PX 0.145142051779*中国
0.374371304636*打车 0.222543850657*司机 0.17397966917*软件 0.116128689389*师傅 0.112976486149*美国
0.334319169074*文章 0.263931400741*姚笛 0.197345133243*马伊琍 0.138904011186*出轨 0.0655002857549*马伊利
0.240897606306*文章 0.210404318672*马航 0.192687708357*昆明 0.191163085323*飞机 0.164847281342*东莞
0.298885334484*欧冠 0.298577633517*欧冠 0.166987063426*决赛 0.118485886094*曼联 0.117064082479*主场
0.306974624278*XP 0.188151643993*停止 0.175947445632*用户 0.169929652637*中国 0.158996633461*电脑
0.329807864145*马航 0.208520351572*失联 0.176857591427*客机 0.160342754769*MH370 0.124471438087*中国
