0.303059865325*高考 0.295540370777*舌尖 0.148032179612*粽子 0.1380934394*舌尖上的中国 0.115274144886*美食
0.34543532633*招远 0.202341338233*光头 0.162790960534*招远市 0.149897459639*山东 0.139534915264*金矿
0.402698598976*招远 0.250248386185*事件 0.124379160943*马航 0.120901501542*山东 0.101772352355*社会
0.393975345542*招远 0.197642988331*山东 0.155334264045*麦当劳 0.127833177625*女子 0.125214224458*打死
0.277182903702*招远 0.21697164519*山东 0.191214907922*打死 0.162805901215*麦当劳 0.151824641971*女子
0.303111373907*世界杯 0.241364106709*NBA 0.158082112655*热火 0.154874012983*巴西 0.142568393746*球队
0.370049962036*归来 0.340204909965*粽子 0.164483834985*电影 0.0654216777121*喜欢 0.0598396153017*感觉
0.486882117362*高考 0.180268495685*教育 0.118770923882*考生 0.112795527882*黄海波 0.10128293519*全国
0.40655899911*招远 0.1907419726*事件 0.168161531624*麦当劳 0.124015348238*社会 0.110522148427*打死
0.231086656217*招远 0.227122396856*孩子 0.220184710494*高考 0.169144522501*转发 0.152461713931*朋友
