0.281845115443*高雄 0.245053191514*高雄 0.203054197264*台湾 0.158279076782*马航 0.111768418997*爆炸
0.313171574228*后会无期 0.276269971407*时代 0.220621682348*电影 0.101036399237*韩寒 0.0889003727789*七夕
0.277456682089*高雄 0.275957513144*高雄 0.174375913912*爆炸 0.155109372417*昆山 0.117100518438*台湾
0.309194966159*古剑 0.304960902189*奇谭 0.162088923425*时代 0.121485470307*七夕 0.102269737919*后会无期
0.204581137697*高雄 0.204401979326*高雄 0.197333669313*爱情 0.197109929029*剧 0.196573284635*女孩
0.241367913374*巡视组 0.236357437073*中央 0.190066487387*电话 0.174273120728*巡视 0.157935041438*值班
0.314853494447*时代 0.202327968854*明月 0.175007860233*秦时 0.167902259652*道歉 0.139908416814*电影
0.245646178847*马航 0.242367803061*高雄 0.222290173269*高雄 0.151813787858*爆炸 0.137882056966*台湾
0.224519697309*爆炸 0.215321087542*台湾 0.2069320357*高雄 0.206490572663*高雄 0.146736606786*发生
0.255291422233*大旱 0.206427782793*严重 0.193624087502*干旱 0.173504170662*用水 0.171152536809*节约用水
