0.244785245099*古剑 0.242951640689*古剑 0.226449200995*奇谭 0.147376308378*后会无期 0.138437604839*中国
0.263661620935*时代 0.239638654154*巡视 0.171772463171*中央 0.167568774501*金砖 0.15735848724*乐视
0.27516792044*奇谭 0.273384919937*古剑 0.27041170871*古剑 0.110285759407*电视剧 0.0707496915062*李易峰
0.207778904405*古剑 0.204298820492*奇谭 0.203582365156*古剑 0.194165810636*镜头 0.19017409931*门派
0.505762356772*后会无期 0.160903137294*电影 0.131398541675*不错 0.112704154721*韩寒 0.0892318095383*走过
0.341120256484*后会无期 0.21219451349*时代 0.203761138633*电影 0.146423163911*韩寒 0.0965009274819*喜欢
0.209276725035*回来 0.203234547886*爱情 0.199755891374*视网 0.193958040029*追剧 0.193774795676*删减
0.20750532426*消息 0.199636740209*乐 0.197972403632*爱情 0.197871467154*产科医生 0.197014064745*规则
0.218376929906*古剑 0.211937130217*奇谭 0.205340217007*古剑 0.183560255949*追剧 0.18078546692*产科医生
0.252272416898*奇谭 0.242918493391*古剑 0.224344830377*古剑 0.145172156993*乐 0.135292102341*爱情
