0.348296796567*昆明 0.207017338473*马航 0.18844187113*事件 0.139422221481*发生 0.116821772349*失联
0.31049909321*欧冠 0.310435030636*欧冠 0.137586884866*决赛 0.12393911615*比赛 0.117539875139*巴萨
0.333547610052*打车 0.223051021784*昆明 0.153331950394*软件 0.147092948508*全国 0.142976469261*司机
0.292473532925*马航 0.235568473297*失联 0.168940645382*航班 0.15797272282*飞机 0.145044625575*MH370
0.331465842109*中国 0.208493333256*问题 0.158000592225*北京 0.152984558484*昆明 0.149055673925*准备
0.30934731198*马航 0.259316843144*失联 0.182254537223*飞机 0.137890702307*客机 0.111190605347*中国
0.391449224769*马航 0.185300988284*飞机 0.161916609662*越南 0.136755836173*中国 0.124577341112*失联
0.244063670211*昆明 0.197439907466*时间 0.191751233861*警察 0.186371617496*东莞 0.180373570965*恐怖分子
0.31187494127*余额宝 0.200327547555*银行 0.172891244815*中国 0.163472574604*互联网 0.151433691756*关注
0.254318413797*飞机 0.198050190618*世界 0.18636338458*东莞 0.181118607249*恐怖分子 0.180149403755*时间
