0.29915079289*文章 0.229287928464*我是歌手 0.200377425382*喜欢 0.167693170639*姚笛 0.103490682625*马伊琍
0.408926239957*马航 0.188101255633*失联 0.17307698818*飞机 0.118444280024*MH370 0.111451236205*中国
0.207281445937*骄傲 0.206389454974*这辈子 0.199524380001*事情 0.194415941246*谢娜 0.192388777842*刘烨
0.287893300931*东莞 0.233702869894*服贸 0.196948697348*台湾 0.159203731515*学生 0.122251400312*消息
0.247886608609*停止 0.229783733801*XP 0.18777205791*打车 0.179745780256*微软 0.154811819424*用户
0.269948342505*文章 0.206079689814*爱情 0.194810890219*相信 0.182934723711*出轨 0.146226353751*离婚
0.323444636358*欧冠 0.322452082643*欧冠 0.149867695025*决赛 0.110278198192*比赛 0.0939573877813*主场
0.231516281428*姚笛 0.209006027068*马伊琍 0.203081642591*文章 0.179007663594*小三 0.177388385318*遇见
0.388131257012*文章 0.229945038565*马伊琍 0.148351834487*出轨 0.147225436737*姚笛 0.086346433198*马伊俐
0.218262487432*马云 0.200882527531*马航 0.200545701736*余额宝 0.194179600034*马化腾 0.186129683268*马英九
