0.269150274745*乌鲁木齐 0.185990948325*航空 0.18439176876*航班 0.182632273433*飞机 0.177834734737*备降
0.314026853249*粽子 0.285621811533*舌尖 0.194595747481*美食 0.106981760718*新疆 0.0987738270197*中国
0.319506422034*新疆 0.204545467218*时间 0.166477736857*归来 0.163636819846*中国 0.145833554046*粽子
0.285192174008*乌鲁木齐 0.19984748061*发生 0.190691651684*案件 0.163496884507*公园 0.160771809191*北街
0.274411514038*乌鲁木齐 0.212639651273*新疆 0.212520642237*爆炸 0.160252011064*早市 0.140176181388*爆炸物
0.390371462671*归来 0.199310938955*电影 0.145588791342*巩俐 0.143210722996*张艺谋 0.121518084036*陈道明
0.308768075812*NBA 0.19637543262*马刺 0.183876528223*雷霆 0.156186900229*球队 0.154793063116*篮球
0.490400099235*归来 0.144895722071*等待 0.125191888565*时代 0.12383302285*黄海波 0.115679267279*爱情
0.509149299015*归来 0.147106331708*电影 0.127431334757*欧冠 0.120339126494*欧冠 0.0959739080265*蜘蛛侠
0.2284966424*暴恐 0.202995882646*分子 0.194436268122*受伤 0.190453442848*新疆 0.183617763984*群众
