0.279136605278*我是歌手 0.198339009398*节目 0.179380755174*高清 0.176401711126*明星 0.166741919024*湖南卫视
0.227900362402*事件 0.225407545801*马航 0.200789548311*东莞 0.197673266914*中国 0.148229276572*昆明
0.431305831592*余额宝 0.159243247516*银行 0.150049051212*基金 0.13444875117*互联网 0.12495311851*理财
0.359661371726*李代沫 0.318893060735*吸毒 0.11888624914*歌手 0.103912401673*声音 0.0986469167258*警方
0.300184300766*马航 0.214713446302*失联 0.179869731479*客机 0.154330213072*航班 0.15090230838*飞机
0.33278015367*马航 0.227613832851*飞机 0.176601649637*失踪 0.146971613955*马来西亚 0.116032749886*国家
0.328939801573*马航 0.266319202095*失联 0.151359378333*飞机 0.129761414104*中国 0.123620203895*客机
0.303349741666*欧冠 0.302635923704*欧冠 0.148845265909*决赛 0.123094404333*回合 0.122074664388*主场
0.400500320576*打车 0.154432556775*司机 0.153564463238*出租车 0.151828276163*软件 0.139674383248*昆明
0.5637973772*昆明 0.119127928791*昆明市 0.115242036713*云南 0.106716068705*城市 0.0951165885908*发生
