0.255068196374*新疆 0.204582137013*暴恐 0.18957851575*分子 0.179846153954*杀害 0.17092499691*马航
0.409657004401*归来 0.188451625145*电影 0.140073915241*巩俐 0.136256920109*张艺谋 0.125560535105*陈道明
0.574230355742*新疆 0.114425522559*草原 0.107994759783*天山 0.102340045302*世界 0.101009316614*中国
0.292862903118*步步惊情 0.27460153732*舌尖 0.188366952715*中国 0.128171425356*舌尖上的中国 0.115997181491*电视剧
0.224148927665*新疆 0.195026116143*跟着 0.194862726127*欧冠 0.193390173608*羊群 0.192572056456*领头羊
0.580755999468*新疆 0.143037874759*发现 0.124764425314*美食 0.0833872066742*中国 0.0680544937845*活动
0.286019552742*舌尖 0.209571617646*舌尖上的中国 0.203022806137*相逢 0.165743232054*火锅 0.13564279142*美味
0.315191320165*NBA 0.189853425015*雷霆 0.175074575302*快船 0.162853389105*篮球 0.157027290412*实力
0.291050036963*舌尖 0.254720040516*新疆 0.235837019429*美食 0.117406540625*味道 0.100986362467*发现
0.391875075838*黄海波 0.170886484449*北京 0.150844608986*新疆 0.146361455986*中国 0.140032374742*文章
