0.365610504214*东莞 0.197056437376*欧冠 0.162714648813*打车 0.14017096436*时间 0.134447445238*文章
0.459155334731*我是歌手 0.152271434791*邓紫棋 0.145447522293*喜欢 0.125993505453*张杰 0.117132202732*歌手
0.311008517911*打车 0.220080814965*软件 0.179195188658*司机 0.155345384871*手机 0.134370093594*补贴
0.299635241242*美剧 0.298090180873*美剧 0.152301283942*文章 0.147555741378*美国 0.102417552565*中国
0.283533244091*文章 0.207577584714*凤凰 0.173280849649*博报 0.172383052523*人民网 0.163225269023*作者
0.460593642372*文章 0.196797754186*篇文章 0.11617148959*发表 0.115262719503*学生 0.111174394348*中国
0.318673228631*马航 0.200788087519*失联 0.178370920899*飞机 0.15517327104*客机 0.146994491911*MH370
0.408872225433*马航 0.167756603106*中国 0.152627843897*事件 0.140808622481*飞机 0.129934705082*失联
0.366126423494*余额宝 0.180323648423*互联网 0.160138996072*产品 0.147039710765*用户 0.146371221246*银行
0.395950771585*马航 0.1582754113*事件 0.158217223568*乘客 0.146374426094*MH370 0.141182167453*飞机
