0.314078222624*PX 0.213684387089*学生 0.173026367699*清华 0.158026443467*低毒 0.141184579121*百度
0.357657392228*马航 0.198783920943*失联 0.181616839141*飞机 0.136513929227*MH370 0.125427918461*中国
0.241767881088*马航 0.212202745339*信号 0.188220965828*黑匣子 0.187783701355*海巡 0.170024706389*失联
0.45068895973*文章 0.215507453143*姚笛 0.169048653823*出轨 0.108691200262*马伊琍 0.0560637330415*爱情
0.406802669983*东莞 0.248097375855*消息 0.1194009265*中国 0.115596558579*东莞市 0.110102469083*马航
0.290517510365*欧冠 0.290517510365*欧冠 0.14756482172*美剧 0.145643361956*美剧 0.125756795594*决赛
0.33742385077*马航 0.19437105757*飞机 0.188445832281*中国 0.153105679259*黑匣子 0.126653580121*信号
0.457097843642*我是歌手 0.167650584112*邓紫棋 0.146700929537*喜欢 0.13224762539*歌手 0.0963030173182*韩磊
0.296801376983*XP 0.197867803558*腾讯 0.19537724208*电脑 0.163096807156*攻破 0.146856770223*黑客
0.415620968513*打车 0.193281892204*司机 0.171287662108*马航 0.123167787656*出租车 0.0966416895185*软件
