0.370991566488*余额宝 0.247043277148*银行 0.141896995049*互联网 0.125648650524*存款 0.114419510791*金融
0.241556934917*XP 0.220500236823*服务 0.203019302648*用户 0.171235891116*系统 0.163687634496*公司
0.353514965115*打车 0.231844001772*软件 0.166666505319*司机 0.138821849123*嘀嘀 0.10915267867*乘客
0.249649100578*东莞 0.19518465121*老公 0.191327832936*美女 0.185484019776*看好 0.1783543955*依靠
0.342802535811*东莞 0.217842772582*北京 0.151543750782*比赛 0.145433126487*欧冠 0.142377814339*欧冠
0.526968778703*东莞 0.155101214282*东莞市 0.122478683166*广东 0.114895386596*扫黄 0.0805559372537*深圳
0.397697700762*余额宝 0.172079027767*银行 0.156099153987*钮文新 0.146439339563*金融 0.127684777921*中国
0.27405043906*打车 0.218714850462*司机 0.217283780151*软件 0.174590577949*出租车 0.115360352377*广播
0.313734261921*打车 0.283431644691*东莞 0.200921978785*我是歌手 0.102767795182*邓紫棋 0.099144319421*喜欢
0.32720755218*欧冠 0.326717023849*欧冠 0.138046341651*曼联 0.107894920726*比赛 0.100134161595*客场
