0.401415783009*余额宝 0.1910938757*银行 0.148036062491*互联网 0.141227789935*支付宝 0.118226488865*金融
0.313183384692*XP 0.196053790213*微软 0.169433586506*支持 0.160977921367*系统 0.160351317221*停止
0.249416177412*马航 0.235646271172*失联 0.177454600509*客机 0.170219621798*中国 0.167263329108*飞机
0.307582841504*服贸 0.27227528066*台湾 0.189037976532*学生 0.139834752532*行政院 0.0912691487711*大陆
0.267217862835*马航 0.201025675779*客机 0.184127791445*乘客 0.179233252669*航班 0.16839541727*马来西亚
0.281729875916*我是歌手 0.277429993142*东莞 0.157675339394*歌手 0.151420620521*李代沫 0.131744171027*音乐
0.318108681674*欧冠 0.318021137411*欧冠 0.123623668346*皇马 0.122684529721*决赛 0.117561982847*巴萨
0.375575872388*打车 0.215481975675*东莞 0.15402904758*司机 0.135171000009*软件 0.119742104348*马航
0.21109764746*京东 0.204724438761*梦想 0.195306087122*从政 0.194870534892*县长 0.194001291766*自述
0.311860821348*马航 0.265228537215*失联 0.200626551789*飞机 0.111879266295*MH370 0.110404823354*马来西亚
