0.403082788758*余额宝 0.172605525618*银行 0.154831135132*互联网 0.140679200529*支付 0.128801349964*金融
0.314691375163*马航 0.23613462411*失联 0.154410659154*飞机 0.150394094372*中国 0.1443692472*客机
0.381022745074*打车 0.177301427778*司机 0.159521641103*软件 0.145314329805*出租车 0.136839856239*昆明
0.250010133995*李代沫 0.236862486534*吸毒 0.189350731997*歌手 0.165267338368*中国 0.158509309105*娱乐
0.332388822219*马航 0.241005749282*失联 0.186402357407*飞机 0.128635490348*客机 0.111567580744*MH370
0.360189827923*马航 0.188755182903*中国 0.16202323869*失联 0.160642592284*事件 0.1283891582*飞机
0.255794143999*马航 0.223568604608*飞机 0.196846154849*失踪 0.1623454019*马来西亚 0.161445694644*国家
0.551492380594*昆明 0.165507412789*昆明市 0.114674680676*云南 0.0878793190463*发生 0.0804462068942*火车站
0.318199100089*欧冠 0.318199100089*欧冠 0.136784389566*决赛 0.118951420967*比赛 0.107865989288*切尔西
0.351231485533*东莞 0.244300161014*丐帮 0.151255937928*乞讨 0.130772409691*老人 0.122440005834*社会
