0.282622893631*地震 0.208766716196*鲁甸 0.206227074041*灾区 0.18357980037*云南 0.118803515762*发生
0.314266699177*马航 0.178942650852*MH17 0.177983838149*台湾 0.169995323076*客机 0.158811488745*坠毁
0.489143402529*地震 0.169960997866*云南 0.116494401666*海啸 0.113901841284*失踪 0.110499356654*小学
0.272937718184*地震 0.239740876948*鲁甸 0.226516648057*云南 0.131970122694*鲁甸县 0.128834634117*灾区
0.307030682969*地震 0.208518571691*鲁甸 0.178771564616*工作 0.165733097249*云南 0.139946083475*时间
0.213231021934*地震 0.20441029904*点亮 0.201342330046*救助者 0.191754614903*援助 0.189261734076*希望
0.28254124045*地震 0.208050456657*鲁甸 0.172347368803*龙头 0.1709595434*山镇 0.16610139069*倒塌
0.506370956416*地震 0.140743393348*应急 0.12832194882*灾难 0.122381257958*云南 0.102182443458*鲁甸
0.346684697919*时代 0.289576750617*后会无期 0.191302577037*电影 0.090707899875*世界 0.0817280745518*朋友
0.220023414338*中央 0.204194600095*巡视组 0.20399689208*巡视 0.191729340667*落马 0.18005575282*天津
