0.352805927336*奇谭 0.348817046467*古剑 0.109760425194*电视剧 0.096900232948*李易峰 0.0917163680551*时代
0.231520251027*高雄 0.228974970234*高雄 0.198535232912*昆山 0.179990621286*爆炸 0.160978924542*地震
0.246108628088*时代 0.221207625297*秦时 0.214878394377*明月 0.2078238135*道歉 0.109981538739*弹幕
0.343016018812*后会无期 0.228007385769*时代 0.151548489343*电影 0.151000454239*闺蜜 0.126427651837*白发
0.371494674054*地震 0.192123788386*云南 0.174496084176*灾区 0.132677428524*鲁甸 0.129208024861*救援
0.351718552111*时代 0.242420768381*后会无期 0.214843109305*电影 0.0981449072454*韩寒 0.0928726629568*喜欢
0.227039515268*昆山 0.218579685392*马航 0.190768212629*云南 0.1900810595*爆炸 0.173531527212*珍惜
0.271153741722*地震 0.211349733289*发生 0.203970039166*中国 0.161980284613*深度 0.151546201211*震源
0.265856466658*地震 0.214919889785*鲁甸县 0.202093625497*云南 0.169554351184*发生 0.147575666877*昭通市
0.205766165975*高雄 0.204976248585*高雄 0.197867377028*女孩 0.195760930655*后悔 0.195629277757*男孩
