0.334984328834*舌尖 0.255089862092*美食 0.178447237727*新疆 0.121081119478*中国 0.110397451869*舌尖上的中国
0.275254534976*欧冠 0.270279524584*欧冠 0.171046446606*决赛 0.149490250264*冠军 0.133929243569*本菲卡
0.331769133879*归来 0.280174296511*新疆 0.150406667929*导演 0.127111545018*观众 0.110538356663*舌尖
0.333266263954*NBA 0.232376779469*热火 0.173298290509*篮网 0.138860850677*篮球 0.122197815391*球队
0.265019045735*新疆 0.221894046935*时间 0.199041854515*海南 0.158497010117*青岛 0.155548042698*九寨沟
0.271359081416*NBA 0.216354980207*欧冠 0.202053271633*欧冠 0.175651498996*比赛 0.134581167748*球迷
0.249076986953*李克强 0.214636996109*国务院 0.189216876128*总理 0.177532031321*常务会议 0.169537109489*服务业
0.263701101917*中国 0.203279245331*韩国 0.19833765739*美国 0.17093487982*沉船 0.163747115542*马航
0.224011084897*组织 0.2046609438*暴恐 0.203248553853*新疆 0.191949149404*东突 0.176130268046*乌鲁木齐
0.292334310125*归来 0.242747185994*新疆 0.167022067778*张艺谋 0.164334019658*电影 0.133562416445*巩俐
