0.257198733219*朋友 0.207126389312*严重 0.200717975137*世界 0.183371758273*地震 0.15158514406*困难
0.327440767157*地震 0.2564738584*云南 0.16251451045*鲁甸 0.156380419963*鲁甸县 0.0971904440297*发生
0.320652889477*地震 0.206266472112*云南 0.170403248612*灾区 0.157928670807*鲁甸 0.144748718993*救援
0.276189157171*地震 0.207997034032*云南 0.205652811277*鲁甸县 0.161325225218*昭通市 0.148835772302*鲁甸
0.339044612561*地震 0.233066692155*云南 0.171818012337*鲁甸 0.134851203201*救援 0.121219479746*龙头
0.253182115852*昆山 0.222321541633*地震 0.212522868832*云南 0.18218850266*爆炸 0.129784971023*工厂
0.2061575915*生命 0.204802828472*工厂 0.197889666277*高雄 0.195625504336*昆山 0.195524409414*高雄
0.241450861186*地震 0.236323723926*云南 0.197095423617*昆山 0.172628485742*马航 0.152501505529*高雄
0.380670468391*时代 0.241555001507*后会无期 0.177009034409*电影 0.100759409339*古剑 0.100006086354*奇谭
0.209439678012*高雄 0.203647687601*高雄 0.200967548928*意外 0.193040657457*活着 0.192904428001*昆山
