0.353163363837*昆明 0.277899493477*打车 0.140647176928*司机 0.124875701241*城市 0.103414264517*东莞
0.427052069618*昆明 0.207778311667*事件 0.144151502849*火车站 0.127253962576*发生 0.0937641532896*暴恐
0.29863728108*政府 0.278415736696*报告 0.165389709982*工作 0.138357051514*总理 0.119200220728*人民大会堂
0.251167613551*打车 0.233936527943*余额宝 0.183557379302*软件 0.174796131594*互联网 0.15654234761*公司
0.258562329097*中国 0.210782012795*部长 0.196300123518*全国 0.182240915806*记者 0.152114618785*问题
0.266289320349*全国 0.238097691933*委员 0.229436783285*代表 0.135465735932*人大代表 0.130710468501*建议
0.376192136237*我是歌手 0.256744253411*邓紫棋 0.156387728259*喜欢 0.123516681908*龙卷风 0.0871592001846*感觉
0.224808127729*余额宝 0.204089815037*互联网 0.198708308734*XP 0.198304776857*用户 0.174088971642*中国
0.293226731969*昆明 0.230217407849*马航 0.176831373672*中国 0.16273366067*飞机 0.136990825839*马来西亚
0.24209766865*北京 0.225474030684*欧冠 0.204869782933*时间 0.164715815582*比赛 0.16284270215*东莞
