0.210053085538*高雄 0.205283371697*高雄 0.199596377937*爱情 0.193726069932*主演 0.191341094896*后悔
0.281090085952*高雄 0.279548896871*高雄 0.164435318578*發生 0.148637115833*爆炸 0.126288582767*高雄市
0.223081521213*爆炸 0.206999588751*台湾 0.191664764061*高雄 0.189972963345*发生 0.18828116263*高雄
0.210661959946*台湾 0.205504455095*高雄 0.202785288045*爆炸 0.20128461725*高雄 0.179763679664*燃气
0.281239068903*古剑 0.281032188046*古剑 0.279890776419*奇谭 0.0859563804791*电视剧 0.0718815861532*李易峰
0.345866629222*时代 0.291514016186*后会无期 0.181550779954*电影 0.0910410656386*韩寒 0.0900275089995*闺蜜
0.23945359735*老虎 0.20182046444*反腐 0.190092860597*频道 0.1897426475*落马 0.178890430113*纪录
0.237987229236*巡视组 0.2349496127*中央 0.232685288667*巡视 0.159836559891*进驻 0.134541309505*陕西
0.319267113354*高雄 0.317896483698*高雄 0.124926914575*希望 0.120325538543*台湾 0.117583949831*爆炸
0.30504959138*马航 0.239177775385*周永康 0.161700312667*立案 0.158093294515*审查 0.135979026052*党纪国法
