0.373606599018*春晚 0.193177749992*宇 0.183483273216*华晨 0.169120734074*直通 0.0806116437011*左立
0.247150846802*邓紫棋 0.208880869956*喜欢 0.201869919964*我是歌手 0.178206783307*爱 0.163891579972*唱
0.334498872283*春晚 0.185055783775*马 0.166959054848*苏菲 0.16579150901*玛索 0.147694780084*刘欢
0.277497984574*崔健 0.270876472845*春晚 0.162845042755*一无所有 0.154138752865*经纪人 0.134641746961*花房
0.292299240112*邓紫棋 0.218273569006*我是歌手 0.183587506088*唱 0.178511482937*歌手 0.127328201856*歌曲
0.33345089519*邓紫棋 0.222241876652*我是歌手 0.185821894151*唱 0.143819486261*张杰 0.114665847746*喜欢
0.473617031081*春晚 0.150394673179*马 0.135355620579*节目 0.127955210469*央视春晚 0.112677464691*央视
0.30729573014*春晚 0.219061176238*华晨 0.197203531561*宇 0.151398665167*直通 0.125040896894*花花
0.36052003399*邓紫棋 0.26878786465*我是歌手 0.133069028103*灌醉 0.124005987213*精彩 0.113617086044*视网
0.567704688479*春晚 0.112678250771*现场 0.112678250771*喜欢 0.10346940499*邓紫棋 0.10346940499*唱
