0.230731003721*昆山 0.200473194914*地震 0.19897894622*爆炸 0.19661297165*云南 0.173203883495*高雄
0.352492144772*时代 0.266641967842*后会无期 0.181525946783*电影 0.111193173512*世界 0.0881467670908*朋友
0.268874232186*河南 0.261984549679*大旱 0.178612796976*领导 0.165470218681*走过场 0.125058202478*拍照
0.301331441418*地震 0.228255344139*云南 0.213631044166*鲁甸 0.128413786431*灾区 0.128368383846*救援
0.343721917846*地震 0.197961293345*灾区 0.194504803947*发生 0.137383789395*鲁甸 0.126428195467*云南
0.284097838355*地震 0.214818248124*鲁甸 0.189283022539*云南 0.165308213521*爱心 0.146492677461*救援
0.27867565413*地震 0.199681462606*鲁甸 0.186652583493*失踪 0.179076491457*云南 0.155913808313*造成
0.44479536683*地震 0.220817413773*云南 0.135226250453*鲁甸 0.123102520226*灾区 0.0760584487175*汶川
0.277830914511*马航 0.214059761194*MH17 0.185885191578*马来西亚 0.168361823811*击落 0.153862308907*报道
0.259163396093*地震 0.216284764207*云南 0.19922539711*鲁甸县 0.1800452802*鲁甸 0.145281162389*昭通市
