0.299836472284*NBA 0.196248933621*季后赛 0.175040881929*热火 0.166319795632*火箭 0.162553916534*马刺
0.253424952308*连城 0.24966710286*宫锁 0.190323420491*美剧 0.188522686647*美剧 0.118061837694*电视剧
0.242381965495*打车 0.232605325752*回来 0.201401414594*爸爸 0.170360049956*韩国 0.153251244203*妈妈
0.234262353299*韩国 0.230102871062*客轮 0.203001701444*中国 0.199185217829*沉没 0.133447856366*家属
0.382615726703*文章 0.193698264899*发表 0.177674744699*中国 0.173634960966*兰州 0.072376302733*事件
0.27468072933*韩国 0.25256942081*客轮 0.233951524607*沉没 0.126431299065*失踪 0.112367026188*遇难
0.366672999711*马航 0.175958372192*失联 0.157716840405*客机 0.156333293653*MH370 0.143318494039*中国
0.2317848424*欧冠 0.210433459211*财富 0.19601596107*刘汉 0.181928164355*篇文章 0.179837572964*推荐
0.476968838759*NBA 0.220290412667*视频点播 0.120787414541*舌尖上的中国 0.0959451249372*官方 0.0860082090959*球员
0.340495136915*XP 0.182471382413*我是歌手 0.170469548019*明星 0.154911857981*奇葩 0.151652074672*歌手
