0.363235961574*时代 0.342014163979*小 0.136334875776*后会无期 0.0847808396871*电影 0.0736341589835*刺金
0.325095479562*小 0.184782926558*年龄 0.179842553764*金砖 0.155139520058*生进儿 0.155139520058*女大八
0.445124924412*后会无期 0.181139169054*电影 0.15308028298*韩寒 0.124357254814*喜欢 0.0962983687401*故事
0.2355759578*古剑 0.211538264095*奇谭 0.209935751182*古剑 0.200320388505*爱情 0.142629638418*小
0.432354518079*后会无期 0.174635697366*电影 0.145791199051*小 0.129801468738*时代 0.117417116767*喜欢
0.265671601111*奇谭 0.264419861673*古剑 0.258706276817*古剑 0.13039894652*李易峰 0.0808033138792*电视剧
0.249306445169*中国 0.232686371472*时代 0.208547508081*小 0.158686801561*巡视组 0.150772873717*后会无期
0.200804863359*规则 0.200120453866*删减 0.199764605031*视网 0.199709753042*乐 0.199600324702*消息
0.282270952935*后会无期 0.195887258204*小 0.191837372796*电影 0.182125577392*时代 0.147878838672*韩寒
0.284835685795*古剑 0.282988785484*奇谭 0.279605298357*古剑 0.0796686023095*电视剧 0.0729016280544*苏苏
