0.60317637112*粽子 0.152800500667*粽叶 0.0890109834475*大战 0.0881102028879*返青 0.0669019418773*糯米
0.297725158416*世界杯 0.227730380277*巴西 0.163509768495*冠军 0.15646797365*链接 0.154566719161*预测
0.427833095434*世界杯 0.166698122813*夺冠 0.158760308595*巴西 0.124488267528*时间 0.122220205631*霍金
0.54159744897*归来 0.193117565065*电影 0.102733192034*张艺谋 0.0828954955987*故事 0.079656298333*巩俐
0.414117840923*世界杯 0.173339217997*参与 0.144066862659*机会 0.134740264852*NBA 0.133735813569*活动
0.328489318146*马航 0.188341819327*MH370 0.181077371267*失联 0.166194425489*信号 0.135897065771*航班
0.373639799301*归来 0.168209599448*世界杯 0.161167432228*风云 0.151509694236*电影 0.145473474788*战警
0.381744764598*世界杯 0.208679788996*巴西 0.182639822905*球迷 0.13163318186*足球 0.09530244164*比赛
0.297966937019*NBA 0.212303701793*热火 0.172187758246*步行者 0.161701485877*篮球 0.155840117065*实力
0.331659795782*粽子 0.297782846317*舌尖 0.178251982517*活动 0.108825159165*美食 0.0834802162202*旅游
