0.209671313212*张国立 0.207641044122*思思 0.203986808009*李 0.198929547139*朱军 0.179771287518*央视
0.232385041473*春晚 0.221230627753*冯小刚 0.198550066171*章子怡 0.181260503026*汪峰 0.166573761577*央视
0.210547099994*邀请函 0.209756232925*春晚 0.19828599219*汪峰 0.192353243996*章子怡 0.189057430895*冯小刚
0.23553461952*春晚 0.204704907927*马 0.202074806762*冯小刚 0.18863226295*赵本山 0.169053402841*汪峰
0.22185953042*联欢晚会 0.215080750057*春节 0.203950000174*央视 0.186459177619*主持人 0.17265054173*春晚
0.201099875177*冯小刚 0.200173149964*牌 0.199802258307*春晚 0.199493349903*接近 0.19943136665*总导演
0.202376886116*有意 0.202261376255*算 0.200473229462*换血 0.198280798155*越来越近 0.196607710012*寄望
0.426790612996*我是歌手 0.200317299472*春晚 0.137810085898*张杰 0.124788157283*歌手 0.110293844351*唱
0.518382430962*春晚 0.143796377983*主持 0.132775812256*马 0.108721662882*节目 0.0963237159179*主持人
0.224671789116*董卿 0.204357391911*毕福剑 0.197643821113*张国立 0.186901870455*朱军 0.186425127405*李
