0.227630778353*刘汉 0.202224049949*组织 0.19338673634*领导 0.190514938349*刘维 0.186243497009*黑社会
0.355742203254*文章 0.241225696693*马伊琍 0.197596266379*姚笛 0.108301424811*爱情 0.0971344088626*出轨
0.240037833628*姚笛 0.237741077692*马伊琍 0.188523021569*裸婚 0.176273434312*文章 0.157424632799*事业
0.269568503779*打车 0.22984852037*服贸 0.200296702168*台湾 0.155597705106*中国 0.144688568577*事件
0.281211785845*文章 0.239149954718*马航 0.198780364218*出轨 0.168286574194*昆明 0.112571321025*离婚
0.253827445619*美剧 0.250398565692*美剧 0.203907687009*我是歌手 0.14593315084*欧冠 0.14593315084*欧冠
0.318900356817*东莞 0.268707708401*文章 0.159704030692*找到 0.128777319243*暴雨 0.123910584846*马伊琍
0.404899931297*马航 0.196462383118*失联 0.169254263267*飞机 0.123407215484*MH370 0.105976206834*客机
0.396116249136*文章 0.178445104083*姚笛 0.177772871074*马伊琍 0.146045569667*马伊利 0.10162020604*出轨
0.210241292416*马云 0.200603440607*马航 0.199078073847*余额宝 0.19517258331*午马 0.19490460982*马化腾
