0.417610744376*地震 0.17445943188*云南 0.144197668269*昆山 0.132244219548*发生 0.131487935928*鲁甸
0.367260432508*地震 0.193948814965*云南 0.161746205022*鲁甸 0.15979817089*鲁甸县 0.117246376616*发生
0.309405535596*马航 0.202001420541*MH17 0.172781909355*马来西亚 0.167445164049*美国 0.14836597046*击落
0.270602135957*地震 0.207179080512*云南 0.193963658156*逝者 0.170244755827*鲁甸 0.158010369548*坚强
0.206896302281*默哀 0.204851024428*地震 0.201285875171*同胞 0.194623112249*分钟 0.192343685871*全省
0.211626436001*云南 0.207975357055*地震 0.200028698913*救助者 0.19315593557*献出 0.187213572462*鲁甸
0.315651321589*时代 0.284709304984*后会无期 0.192987754257*电影 0.121861060913*世界 0.0847905582573*朋友
0.316434792349*地震 0.196555162547*鲁甸 0.189642349617*云南 0.154329316009*爱心 0.143038379478*希望
0.341370581893*地震 0.235204774924*云南 0.194832965036*鲁甸 0.148260667807*灾区 0.080331010341*发生
0.29033057371*地震 0.26780425358*鲁甸 0.191994407031*云南 0.129873839562*救援 0.119996926116*鲁甸县
