0.255225246586*东莞 0.226322553111*马航 0.197290402124*政府 0.176000094841*政治 0.145161703338*马来西亚
0.33341950917*美剧 0.320761217655*美剧 0.132716153392*禁令 0.110270533447*喜欢 0.102832586336*服贸
0.301981631439*美剧 0.300815840911*美剧 0.166420619408*中国 0.122814104821*韩剧 0.107967803421*行尸走肉
0.310260089675*欧冠 0.310260089675*欧冠 0.155713692103*决赛 0.117077316272*主场 0.106688812275*北京
0.376923713137*马航 0.209691741927*飞机 0.158126042673*失联 0.13952081917*MH370 0.115737683092*坠毁
0.391645157592*余额宝 0.167177580328*银行 0.15900783687*互联网 0.150122619279*东莞 0.132046805932*金融
0.427747405304*打车 0.16808309283*司机 0.162214035993*软件 0.122343712116*出租车 0.119611753756*嘀嘀
0.427346080927*马航 0.165655153069*希望 0.139593416938*生命 0.136380284717*飞机 0.131025064348*珍惜
0.367362777953*马航 0.186872057894*乘客 0.160323045526*家属 0.160029345494*MH370 0.125412773133*失联
0.224396177848*美剧 0.222580526952*美剧 0.222246019335*禁令 0.177285818561*详情 0.153491457304*文化
