0.228707165275*古剑 0.225998910934*奇谭 0.219974556962*古剑 0.166086343325*季节 0.159233023505*剧
0.230240058887*后会无期 0.205612792519*故事 0.195590024605*幸福 0.184994473988*结局 0.18356265*安好
0.262044293998*地震 0.212740328805*鲁甸 0.203249307262*云南 0.194080303994*灾区 0.127885765941*爱心
0.522967016375*后会无期 0.188450448459*电影 0.106115456654*韩寒 0.100291983272*时代 0.0821750952397*喜欢
0.418920049775*地震 0.154231756526*台风 0.146312117004*房子 0.142560655098*逃生 0.137975421597*监狱
0.283957021907*奇谭 0.270772922283*古剑 0.270551501576*古剑 0.0897412961768*电视剧 0.0849772580584*李易峰
0.410747346086*地震 0.234782504769*发生 0.139976268562*雅安 0.11594267853*四川 0.098551202053*灾区
0.493124976557*地震 0.161997630506*海啸 0.139899387062*汶川 0.109101144522*小学 0.0958768613523*世界
0.221487706484*巡视组 0.211752264306*反馈 0.196105766892*干部 0.187065693357*领导 0.183588568961*违法
0.205136359435*追剧 0.200378941796*乐 0.200258078559*钟情 0.197718036459*产科医生 0.196508583751*删减
