0.237943832836*巡视组 0.21758715729*中央 0.185049205173*反馈 0.181378423873*领导 0.178041380828*违法
0.238750751429*微信 0.223605165799*精彩 0.220190521531*关注 0.203337469676*新款 0.114116091565*地震
0.310955017126*冰桶 0.302156877615*挑战 0.134265789507*接受 0.129203794285*侧索 0.123418521468*肌萎缩
0.536741126893*地震 0.130979413608*汶川 0.124802726571*告诉 0.114191234904*海啸 0.0932854980245*鲁甸
0.310043206296*地震 0.225991378417*云南 0.174529612844*发生 0.156989901666*永善 0.132445900778*鲁甸
0.239749453946*地震 0.206831224763*永善 0.199621250512*受伤 0.189279634191*造成 0.164518436588*受损
0.293440982006*奇谭 0.286174452785*古剑 0.283450723544*古剑 0.0760854378023*李易峰 0.060848403863*电视剧
0.243044385589*地震 0.209728944911*发生 0.198741736296*永善县 0.181463830432*昭通市 0.167021102772*云南省
0.256923163469*中国 0.200573002404*地震 0.184336419008*奇谭 0.183859106414*古剑 0.174308308705*古剑
0.205772972452*古剑 0.205193738188*古剑 0.204370972877*奇谭 0.192727334828*乐 0.191934981656*视网
