0.402671553496*徐才厚 0.228810448383*开除党籍 0.126158099345*处分 0.126095169482*中共中央 0.116264729295*问题
0.209892044378*小伙伴 0.207553977811*世界杯 0.203300628344*参加 0.191477264444*现金 0.187776085023*围观
0.340421614992*世界杯 0.300285571352*巴西 0.125199893851*体育 0.125031647743*爱奇艺 0.109061272062*球迷
0.401253240708*变形金刚 0.175648291809*电影 0.171833314982*中国 0.133764426783*广告 0.117500725718*重生
0.258741909127*德国 0.244400293965*狗肉 0.218270995189*小时 0.140275660279*食物 0.138311141441*牛肉
0.300264104122*世界杯 0.202549415221*参与 0.194065537849*竞猜 0.153947990574*选择 0.149172952234*下注
0.242314837112*地球 0.227792780396*保卫 0.214649053402*变形金刚 0.158257651335*安全 0.156985677755*携手
0.247166737331*世界杯 0.246611039491*德国 0.183600672347*阿尔及利亚 0.16288231129*法国 0.159739239542*比赛
0.372182067501*世界杯 0.177121422568*德国 0.162795948158*巴西 0.145758393418*阿根廷 0.142142168355*法国
0.245976947602*巴西 0.209940836775*世界杯 0.186206966252*小伙伴 0.183473135073*免费 0.174402114298*加入
