0.394186435594*春晚 0.177999538574*直通 0.152790177832*2013 0.139039571128*我是歌手 0.135984276872*2014
0.299635458733*春晚 0.228157720489*央视 0.209386028101*主持 0.180506137536*主持人 0.0823146551411*凤凰
0.284116731106*春晚 0.193593876344*2013 0.186630273556*唱歌 0.176881808778*歌曲 0.158777310216*歌唱
0.215341427012*何炅 0.20976283252*谢娜 0.193305436187*主持人 0.19191099625*张国立 0.189679308031*主持
0.355202663118*春晚 0.210114338702*2014 0.204093483302*我是歌手 0.118605872258*湖南卫视 0.111983642621*希望
0.457343495688*春晚 0.186029741714*2014 0.134561194688*新年快乐 0.111768150773*小 0.110297417137*新年
0.482001642596*春晚 0.159174443798*跨 0.13759287173*舞台 0.118708674748*一年 0.102522367128*本山
0.489940364396*春晚 0.137889055273*陕西 0.132534689125*节目 0.128518666673*马 0.111117224533*私人
0.223913765525*我是歌手 0.198019823615*2014 0.1964967791*春晚 0.192688621525*湖南卫视 0.188881010235*节目
0.331355991424*春晚 0.241862413533*主持 0.196745520015*阵容 0.136097175189*谢娜 0.0939388998392*风格
