0.28221061017*昆明 0.200850538063*城管 0.189510937214*科长 0.184975368872*霸王餐 0.142452545681*摊主
0.266951151241*马航 0.213954573604*飞机 0.181031624665*马来西亚 0.175053838564*失踪 0.163008811926*国家
0.311777580543*马航 0.246058059923*失联 0.178072280646*客机 0.134695178969*中国 0.129396899919*飞机
0.367549832639*马航 0.201503778172*飞机 0.197388291004*失联 0.122675225113*马来西亚 0.110882873072*事件
0.353899209715*余额宝 0.177435022667*支付 0.174136802361*银行 0.166278959132*互联网 0.128250006125*金融
0.336720712829*我是歌手 0.192638220176*中国 0.174759041314*关注 0.163365845863*全国 0.132516179817*政府
0.50689176375*昆明 0.133771833713*昆明市 0.122337522113*发生 0.118656071207*云南 0.118342809218*事件
0.30060350017*打车 0.291543896334*昆明 0.147713877117*司机 0.14590195635*城市 0.114236770029*北京
0.346472221647*马航 0.237624676148*失联 0.195627022374*飞机 0.113397525269*航班 0.106878554562*MH370
0.333750301753*欧冠 0.333750301753*欧冠 0.122819876958*联赛 0.122730338476*球队 0.0869491810594*曼联
