0.307275522382*NBA 0.229878060251*马航 0.183941638641*季后赛 0.143215977995*事件 0.135688800731*失联
0.305018399215*舌尖上的中国 0.205139027647*舌尖 0.187513276578*中国 0.155659538812*美食 0.146669757749*新疆
0.218150449814*韩国 0.203173133425*沉船 0.197062111347*飞机 0.193360715904*美国 0.188253589511*马来
0.258805552793*美剧 0.254726894654*美剧 0.190026063041*宫锁 0.18316670402*连城 0.113274785492*于正
0.358057905453*新疆 0.200285261625*中国 0.168616571271*北京 0.139515804927*浙江 0.133524456724*云南
0.526077948058*步步惊情 0.133222144822*步步 0.125257207159*吴奇隆 0.112667452577*张晓 0.102775247383*卫视
0.262225539659*京东 0.250228340576*新疆 0.199611512298*爸爸 0.189442409923*回来 0.0984921975442*妈妈
0.43989447698*NBA 0.212852693755*季后赛 0.120669732402*快船 0.117131055163*雷霆 0.109452041699*比赛
0.229349442*程虹 0.206209593925*教授 0.194639794147*文学 0.188928083089*夫人 0.180873086839*李克强
0.209184222932*李克强 0.206089777561*夫人 0.204604500614*程虹 0.196930332924*总理 0.183191165969*访问
