0.586805150348*新疆 0.15186525071*中国 0.0898092843477*云南 0.0891722983128*贵州 0.0823480162814*天山
0.360261916869*归来 0.191234896925*电影 0.16172386932*张艺谋 0.160057136537*巩俐 0.126722180349*陈道明
0.527648775887*归来 0.132420264927*大师 0.126655982968*电影 0.118399349915*蜘蛛侠 0.094875626304*女友
0.292911797374*欧冠 0.288311557704*欧冠 0.175375424863*决赛 0.130244783532*皇马 0.113156436527*冠军
0.342697684679*黄海波 0.214500399827*文章 0.155545097751*家庭 0.144506558085*马航 0.142750259658*采访
0.417030022834*NBA 0.182252596562*热火 0.144946539314*球队 0.1287310902*篮球 0.12703975109*步行者
0.2895695996*新疆 0.222181153101*粽子 0.1827029622*国家 0.164157662362*地区 0.141388622737*入境
0.435403572255*归来 0.227103412*电影 0.14110241732*剧情 0.0982881667789*张艺谋 0.0981024316464*巩俐
0.520965818139*归来 0.162998723983*电影 0.116891409468*爱情 0.105422345083*等待 0.093721703327*故事
0.28292046069*舌尖 0.240024490132*粽子 0.234827611003*美食 0.128424389212*新疆 0.113803048963*舌尖上的中国
