0.337784237874*黄海波 0.326869778195*新疆 0.121356467599*中国 0.11776592579*粉丝 0.0962235905418*家庭
0.419171873617*归来 0.197702223369*电影 0.141216250582*巩俐 0.12253377061*陈道明 0.119375881822*故事
0.269412712917*马航 0.242191921097*黄海波 0.176449476848*嫖娼 0.169036425861*文章 0.142909463276*出轨
0.413098704229*新疆 0.196760629203*步步惊情 0.16316235554*发现 0.113609951557*中国 0.113368359471*美食
0.473156210937*归来 0.209651775814*电影 0.113623523097*巩俐 0.108525869192*爱情 0.0950426209595*陈道明
0.434858790889*归来 0.199285920112*电影 0.130874924328*陈道明 0.12314161934*张艺谋 0.111838745332*巩俐
0.391971351012*欧冠 0.185260175148*决赛 0.155982357715*皇马 0.136295450614*冠军 0.13049066551*巴萨
0.3074029796*舌尖 0.206067159518*舌尖上的中国 0.202239111968*美食 0.159046846264*相逢 0.12524390265*新疆
0.383536285862*NBA 0.176588521724*时间 0.160608064728*雷霆 0.145026937863*季后赛 0.134240189822*归来
0.508249353615*新疆 0.172817864189*云南 0.142587248972*北京 0.0988793213008*上海 0.0774662119227*中国
