0.335758206694*舌尖 0.182114276767*宿舍 0.172794746652*舌尖上的中国 0.171199021587*泡面 0.1381337483*美食
0.395450837335*粽子 0.259177110173*舌尖 0.136530269851*美食 0.113023088356*宿舍 0.0958186942852*喜欢
0.479498817502*归来 0.216076432048*电影 0.126044682895*张艺谋 0.0906150003628*观看 0.0877650671929*导演
0.325675454784*NBA 0.201870343148*雷霆 0.171477980164*马刺 0.15114879589*篮球 0.149827426013*球队
0.505206030646*新疆 0.149644176265*暴恐 0.120226778259*中国 0.114928062449*工作 0.109994952381*刘汉
0.467082286125*归来 0.15621633972*电影 0.152966982348*战警 0.113492057962*逆转 0.110242333845*蜘蛛侠
0.458683902904*世界杯 0.172279087052*巴西 0.133134055879*球迷 0.126627171968*足球 0.109275782197*活动
0.325306265066*粽子 0.181877318046*吃货 0.177346633982*手机 0.159094123821*专场 0.156375659084*现金
0.286008883746*欧冠 0.281107073678*欧冠 0.202528460554*皇马 0.125681983464*决赛 0.104673598557*冠军
0.361483485259*世界杯 0.224022694736*巴西 0.163594803579*西班牙 0.126790347906*冠军 0.124108668519*德国
