0.266955337294*地震 0.20531635906*感情 0.197754628467*台风 0.166590799386*逃生 0.163382875792*房子
0.227416186806*地震 0.208544896765*灾区 0.197720174033*孩子 0.18450046575*震区 0.181818276647*鲁甸
0.242396877071*巡视组 0.205907637725*奇谭 0.201563901127*巡视 0.183753752583*古剑 0.166377831494*古剑
0.376346951122*地震 0.187001562281*应急 0.165650387574*黄金 0.144533676511*朋友 0.126467422512*遇到
0.438078623412*地震 0.216842277033*发生 0.137583876745*灾区 0.105305519468*鲁甸 0.102189703341*云南
0.262161743687*地震 0.231468556455*鲁甸 0.199575393044*灾区 0.179128751787*云南 0.127665555026*爱心
0.302544288534*地震 0.222369076602*海啸 0.179697930343*汶川 0.155446865843*小学 0.139941838677*社会
0.274999526804*古剑 0.273516844496*古剑 0.273108596551*奇谭 0.0897753931149*提醒 0.0885996390346*追剧
0.534949774306*后会无期 0.189069171526*电影 0.125371819476*韩寒 0.082187271371*故事 0.0684219633217*人生
0.334758704742*马航 0.19713200038*乘客 0.178724520096*MH370 0.151327661508*失联 0.138057113274*报道
