0.509316838609*归来 0.209722413473*电影 0.0997912455316*巩俐 0.0971191148957*张艺谋 0.0840503874902*陈道明
0.258164366358*英拉 0.246166895652*泰国 0.175738964947*总理 0.165519108586*军方 0.154410664457*中国
0.610345083502*新疆 0.156087165953*中国 0.0829928634873*草原 0.0767719913267*云南 0.0738028957309*美丽
0.268565534149*欧冠 0.267692861844*欧冠 0.222653105929*决赛 0.139904547356*皇马 0.101183950722*马德里
0.293371033202*舌尖 0.239347302599*粽子 0.20713563912*美食 0.162326996677*舌尖上的中国 0.0978190284023*味道
0.212287112136*剧中 0.206427256833*舌尖上的中国 0.200756048783*播出 0.199054854803*主演 0.181474727444*卫视
0.310075676427*归来 0.209600461591*欧冠 0.202444725222*欧冠 0.14370988121*希望 0.13416925555*决赛
0.60555468427*NBA 0.115046193986*热火 0.0945451175523*快船 0.0943754544547*马刺 0.090478549737*球队
0.306410170717*刘汉 0.192693560798*刘维 0.173531756936*组织 0.171919936499*黑社会 0.155444575049*一审
0.260913435975*新疆 0.22284253849*暴恐 0.21793556699*乌鲁木齐 0.160490984247*分子 0.137817474297*暴力
