0.204128012307*地震 0.203559111675*鲁甸 0.199821097915*追悼会 0.197464842807*堰塞湖 0.195026935295*谢樵
0.47676499584*时代 0.173249316519*电影 0.131928890274*后会无期 0.120146879691*朋友 0.0979099176765*黄金
0.383166096161*地震 0.187709346669*云南 0.165363064493*鲁甸 0.155232649038*灾区 0.108528843639*发生
0.41429392446*地震 0.267790009385*发生 0.124845510738*中国 0.100557656726*深度 0.0925128986914*震源
0.24331108664*地震 0.210163094079*云南 0.196701959082*英雄 0.189130090788*谢樵 0.160693769411*遗体
0.376099758416*地震 0.178602160514*鲁甸 0.160415107908*云南 0.149048299578*灾区 0.135834673584*救援
0.274306638031*鲁甸 0.251034059773*地震 0.202523740208*云南 0.157323293916*灾区 0.114812268072*鲁甸县
0.348189670707*后会无期 0.200671319934*电影 0.185005586324*时代 0.157218130924*马航 0.108915292111*闺蜜
0.298770824771*地震 0.195178880361*鲁甸 0.187081234528*云南 0.176935919125*灾区 0.142033141215*爱心
0.364695408892*昆山 0.175798457366*爆炸 0.168413929958*中国 0.157932628504*政府 0.13315957528*地震
