0.271174920252*余额宝 0.258305575443*欧冠 0.161392259393*北京 0.160866810116*时间 0.148260434796*银行
0.386771650249*昆明 0.174066591479*事件 0.155707828621*暴力 0.142418120301*暴恐 0.141035809349*失联
0.286173490725*我是歌手 0.19737769112*马航 0.179261330071*飞机 0.17091767683*失联 0.166269811254*中国
0.376067221177*打车 0.221376678541*软件 0.146220879232*司机 0.130357082535*服务 0.125978138516*使用
0.332527610426*马航 0.209236125354*昆明 0.181826229423*事件 0.156863573227*失联 0.119546461571*生命
0.251376057067*工作 0.245666455733*全国 0.178098141863*报告 0.173883679457*代表 0.15097566588*政府
0.245412080787*回来 0.192915273978*马航 0.192117587758*回家 0.186692220357*市场 0.18286283712*全国
0.296415977418*人大代表 0.214464359256*代表 0.179090663395*全国 0.157792766319*委员 0.152236233612*老百姓
0.262855986962*委员 0.224006394074*问题 0.199864981096*中国 0.15899421606*全国 0.154278421808*全国政协
0.410917686536*昆明 0.254333581327*东莞 0.115658978878*消息 0.110623902715*广州 0.108465850544*昆明市
