0.267799388993*委员 0.215517183454*代表 0.200818745017*全国 0.169995139716*全国政协 0.14586954282*记者
0.305484764063*全国 0.209049275789*发展 0.184024471086*问题 0.150784001941*人大代表 0.150657487121*建设
0.208601434356*XP 0.204987922966*安全 0.199700277977*提供 0.197144609019*中国 0.189565755681*用户
0.260761982218*昆明 0.196683065481*事件 0.185956359666*地方 0.181722000508*发生 0.174876592127*城市
0.307998990435*余额宝 0.207391085096*互联网 0.20303292724*金融 0.152365752768*银行 0.12921124446*发展
0.233218347363*政府 0.221477752963*工作 0.215192578595*报告 0.181566053943*李克强 0.148545267136*总理
0.388468370307*打车 0.227981734858*软件 0.140028953481*补贴 0.122930441287*嘀嘀 0.120590500067*司机
0.378109528552*昆明 0.165330303403*暴恐 0.15623746588*全国 0.153591966459*暴力 0.146730735705*火车站
0.27149149104*打车 0.234916801953*欧冠 0.180220930142*北京 0.158232472097*司机 0.155138304768*时间
0.47388406199*昆明 0.193497998102*事件 0.127476739033*火车站 0.102684589563*发生 0.102456611311*新疆
