0.285116976637*奇谭 0.282039596827*古剑 0.276563670988*古剑 0.0929678703446*电视剧 0.0633118852029*李易峰
0.44650222323*变形金刚 0.157674962011*绝迹 0.152951908466*重生 0.123524289676*免费 0.119346616617*不错
0.260210159076*世界杯 0.253003501624*小伙伴 0.171364006744*现金 0.167760164358*围观 0.147662168199*大奖
0.210696908228*古剑 0.209730837813*奇谭 0.208557554303*古剑 0.190821314627*发现 0.180193385028*追剧
0.409506302968*世界杯 0.187270910304*德国 0.148769252652*足球 0.133316069924*中国 0.121137464151*阿根廷
0.352165140784*世界杯 0.170985662463*古剑 0.163764380722*古剑 0.162277422698*球迷 0.150807393332*奇谭
0.405914459058*变形金刚 0.197279838991*电影 0.164003779092*中国 0.116995356767*分手 0.115806566092*大师
0.288375246794*世界杯 0.204325433183*巴西 0.199115236307*德国 0.160285113986*阿根廷 0.147898969731*球迷
0.338159144977*世界杯 0.220777464089*巴西 0.175293638067*德国 0.133333357972*比赛 0.132436394896*荷兰
0.207011857727*世界杯 0.206070362608*决赛 0.195942282447*阿根 0.195812297861*德国 0.195163199358*意大
