0.204119418757*春晚 0.202264059949*创 0.198923492559*拍戏 0.197439051924*侵案 0.197253976811*忙
0.20290460293*纪录 0.201547786904*票房 0.200510819728*李晨 0.198914703585*侵案 0.196122086853*马
0.421609541491*春晚 0.187382505967*主持 0.153288760355*央视 0.123356058597*春节 0.11436313359*张国立
0.210583037376*对不住 0.207993486518*节目 0.194311518398*否认 0.193620717625*宣布 0.193491240083*订制
0.216425206518*拍戏 0.197624979739*订制 0.197400547585*出嫁 0.194567275005*对不住 0.193981991153*林依晨
0.209731823311*出嫁 0.202643127814*人海战术 0.198481937577*张馨 0.195691935188*予疑 0.19345117611*票房
0.358400065135*春晚 0.221256034598*节目 0.212344824613*马 0.114540628173*郭德纲 0.0934584474798*冯小刚
0.202651745903*舞蹈 0.200624201645*发言人 0.199691653889*拍戏 0.198597423655*否认 0.198434974909*纪录
0.210064145426*复合 0.207370478409*分手 0.19698597324*凯特 0.192848483067*冯小刚 0.192730919859*刘德华
0.389612720901*我是歌手 0.186428433405*春晚 0.164845040052*邓紫棋 0.142540315497*唱 0.116573490145*歌手
