0.298161034623*金砖 0.219500239319*中国 0.202543399239*国家 0.140839725731*俄罗斯 0.138955601087*巴西
0.262648015431*巡视组 0.252068856922*中央 0.228150128174*巡视 0.135696001508*问题 0.121436997964*合同
0.271782973567*时代 0.268167063082*小 0.263384643001*小 0.109763796018*后会无期 0.086901524331*电影
0.2754599283*古剑 0.274855341181*奇谭 0.27209765922*古剑 0.096461994411*电视剧 0.0811250768877*李易峰
0.267600935148*小 0.265612493951*时代 0.257558252229*小 0.127105960972*电影 0.0821223577005*郭敬明
0.296895773994*微信 0.203823815824*大旱 0.172439222681*后会无期 0.167028085932*精彩 0.15981310157*小
0.235434186472*小 0.213705667276*后会无期 0.198424131627*小 0.181709780622*时代 0.170726234004*电影
0.269124082635*小 0.26890681612*小 0.264396066982*时代 0.129673791609*后会无期 0.0678992426534*郭敬明
0.415781220375*后会无期 0.258089819145*韩寒 0.158753607618*电影 0.0944303782469*电影票 0.072944974615*冯绍峰
0.316821094334*小 0.297449474599*小 0.249877058439*时代 0.0755279576774*刺金 0.0603244149502*电影
