0.24516720547*昆明 0.241380347143*火车站 0.207070913593*受伤 0.16578108864*暴徒 0.140600445154*暴力
0.325869307046*昆明 0.204772612384*逝者 0.191470072005*安息 0.140086444946*伤者 0.13780156362*事件
0.294166680683*昆明 0.224263169057*火车站 0.181677177244*暴力 0.1608813707*事件 0.139011602316*发生
0.259653720943*全国 0.199858097184*召开 0.194046285132*会议 0.175449003514*北京 0.170992893228*东莞
0.282059383239*昆明 0.249132134956*中国 0.169962193638*事件 0.166249824396*证据 0.132596463771*全国
0.205051352755*欧冠 0.20167543421*人民币 0.199174807957*价格 0.198299515665*韩国 0.195798889412*涨价
0.398651738798*打车 0.204513282214*软件 0.192657539439*司机 0.118424084084*出租车 0.0857533554656*手机
0.408151320826*昆明 0.224557714322*无辜 0.132120280656*火车站 0.119251576879*平民 0.115919107317*行为
0.30790683203*微海 0.197149119413*问题 0.191755561547*希望 0.157757902393*中国 0.145430584617*关注
0.460136908062*昆明 0.146571503182*安全 0.14050531978*事件 0.134068378623*火车站 0.118717890353*保护
