0.263304044868*全国 0.219481577903*委员 0.207774223219*代表 0.179500323163*人大代表 0.129939830847*工作
0.366042366444*昆明 0.212916559009*暴恐 0.145824070863*现场 0.139129874775*火车站 0.13608712891*警方
0.275328481314*昆明 0.256891199934*马航 0.21114220375*事件 0.139566198905*失联 0.117071916097*飞机
0.234023872217*奶茶 0.229690096806*京东 0.216632516996*妹妹 0.180948399271*章泽天 0.13870511471*爆料
0.302362237051*昆明 0.228889641552*东莞 0.177886962756*全国 0.156843684157*城市 0.134017474484*工作
0.375658258447*余额宝 0.168467831659*金融 0.166479360534*互联网 0.154983042273*银行 0.134411507087*市场
0.260399695753*全国 0.197927539049*委员 0.181805021351*市场 0.181085194685*话题 0.178782549162*孩子
0.392207013798*打车 0.182572444103*昆明 0.170004433169*司机 0.139338228694*软件 0.115877880236*出租车
0.244610682816*主席 0.211694858997*方案 0.193752387633*银行 0.190525247844*试点 0.159416822711*尚福林
0.324519789685*欧冠 0.194485402059*比赛 0.170089916688*北京 0.1640759453*时间 0.146828946267*主场
