0.397546870498*后会无期 0.163287579439*电影票 0.159696444493*错过 0.141741294093*体验 0.137727811476*韩寒
0.279050278822*后会无期 0.235951601796*韩寒 0.166257533828*冯绍峰 0.162711796653*导演 0.1560287889*王
0.325358680629*后会无期 0.258614532807*电影 0.151723567133*时代 0.132151609716*韩寒 0.132151609716*平凡
0.363717165963*变形金刚 0.18777836182*时代 0.180776534432*京城 0.135837168869*绝迹 0.131890768916*重生
0.274848626055*古剑 0.271774549027*奇谭 0.270294603713*古剑 0.0989416767769*李易峰 0.0841405444284*电视剧
0.397251308901*时代 0.187314829073*后会无期 0.180267554666*刺金 0.127227055744*京城 0.107939251617*电影
0.357981018991*后会无期 0.219278523197*时代 0.164091823318*电影 0.137970195277*韩寒 0.120678439217*影城
0.374282873622*金砖 0.194285663876*国家 0.163673895734*中国 0.134695112448*生进儿 0.133062454319*闲妻
0.30934739687*时代 0.251392058525*后会无期 0.192081986344*电影 0.158663441001*韩寒 0.0885151172605*喜欢
0.262013521677*奇谭 0.261502340001*古剑 0.252299941397*古剑 0.125512216076*时代 0.0986719808497*喜欢
