0.29206796786*欧冠 0.291780305813*欧冠 0.15028090886*决赛 0.140204680788*世界杯 0.12566613668*皇马
0.247064381018*欧冠 0.243332557418*欧冠 0.221887577959*皇马 0.154841396754*冠军 0.132874086851*决赛
0.242379457832*NBA 0.198239909892*欧冠 0.191059455839*比赛 0.190918662622*欧冠 0.177402513815*决赛
0.511242712549*归来 0.20225259947*电影 0.0999386339157*张艺谋 0.0950238647914*巩俐 0.0915421892743*爱情
0.265570454176*欧冠 0.264338032795*欧冠 0.203077086879*皇马 0.178889686456*决赛 0.0881247396936*C罗
0.341217540327*舌尖 0.180622327558*宿舍 0.16438442533*泡面 0.161894539913*舌尖上的中国 0.151881166872*美食
0.516465772299*新疆 0.210252275984*暴恐 0.095885405213*行动 0.0902779118539*活动 0.0871186346498*喀什
0.236203564854*世界杯 0.200426633383*冠军 0.195627674555*欧冠 0.195201345964*欧冠 0.172540781244*皇马
0.272045250723*欧冠 0.270925589674*欧冠 0.189946713497*皇马 0.174571894776*决赛 0.0925105513305*拉莫斯
0.459058067746*新疆 0.179870306838*中国 0.138486831698*西班牙 0.114395963227*世界杯 0.108188830491*发生
