0.476754697509*昆明 0.154561423917*工作 0.126853057142*昆明市 0.121973743469*开展 0.119857077962*火车站
0.365187964881*全国 0.241425404143*工作 0.13352376488*东莞 0.130541404782*发展 0.129321461315*人大代表
0.369772194785*打车 0.208061322674*软件 0.16733161998*司机 0.134034365959*邓紫棋 0.120800496602*出租车
0.270178531924*委员 0.211746720421*全国 0.182198316708*全国政协 0.167968592645*代表 0.167907838301*记者
0.274769644095*欧冠 0.212206052977*北京 0.210035671436*时间 0.182201480092*比赛 0.1207871514*主场
0.277769308857*报告 0.259148367355*政府 0.200448230963*工作 0.17849153089*总理 0.0841425619356*李克强
0.295392572396*昆明 0.192064596407*事件 0.182544563711*城市 0.175665478382*地方 0.154332789103*发生
0.464820843211*昆明 0.181616248691*事件 0.12670243375*发生 0.124235412437*火车站 0.102625061912*暴徒
0.274913067792*中国 0.202763167805*保护 0.178329501895*XP 0.172828627741*昆明 0.171165634767*安全
0.326524275091*余额宝 0.181937542518*银行 0.174423685472*市场 0.173329722055*互联网 0.143784774865*存款
