0.404508778836*地震 0.184940705967*发生 0.150663787809*云南 0.137739995825*灾区 0.122146731563*鲁甸县
0.219403942195*地震 0.210446960801*默哀 0.194589223752*分钟 0.193492261828*遇难 0.182067611423*同胞
0.258274174538*地震 0.252929514581*鲁甸 0.180875821751*云南 0.158789630056*逝者 0.149130859074*鲁甸县
0.369227304192*地震 0.229749460177*鲁甸 0.176644109473*云南 0.115828124516*搜救 0.108551001643*工作
0.389853179759*地震 0.218039318866*云南 0.149507109127*生命 0.123445236221*鲁甸 0.119155156027*昆山
0.285123300979*地震 0.20247921586*汶川 0.17727319948*张祥青 0.168595101653*天津 0.166529182027*董事长
0.23566116608*马航 0.196445653422*MH17 0.194609629984*坠毁 0.188220546702*客机 0.185063003812*伊朗
0.255429942636*地震 0.217061433565*云南 0.20527256705*鲁甸 0.16526609475*爱心 0.156969961999*灾区
0.311104988911*时代 0.309154693691*后会无期 0.204193531124*电影 0.0938686603018*喜欢 0.0816781259724*韩寒
0.336493693651*地震 0.241618857654*云南 0.149589585165*鲁甸县 0.139153270591*时代 0.133144592939*古剑
