0.292097416684*欧冠 0.289785191879*欧冠 0.161107783114*曼联 0.135268197094*拜仁 0.121741411229*切尔西
0.273771081574*东莞 0.231774775754*李代沫 0.193145726945*吸毒 0.156498014077*消息 0.144810401652*马航
0.317266268506*我是歌手 0.219878893772*东莞 0.1782137481*中国 0.148595498145*喜欢 0.136045591477*马航
0.309500428851*马航 0.246552490179*失联 0.196842284713*飞机 0.151889155959*客机 0.0952156402979*中国
0.31478696686*服贸 0.255179379021*台湾 0.190746436257*大陆 0.143912327619*学生 0.0953748902442*中国
0.35251162819*余额宝 0.216256526601*互联网 0.178182187864*银行 0.134118451567*金融 0.118931205778*理财
0.471449972985*打车 0.222706481163*司机 0.114988457193*软件 0.114724139201*出租车 0.0761309494572*师傅
0.459111591086*我是歌手 0.150882571659*张杰 0.131924018914*歌手 0.130351288812*喜欢 0.127730529529*曹格
0.255264884007*东莞 0.219779894298*消息 0.189331723504*XP 0.173764059526*打车 0.161859438664*服务
0.268517606641*东莞 0.229106969362*马航 0.195869025456*失联 0.154321595573*飞机 0.152184802968*时间
