0.253449882364*扫黄打非 0.197480099312*传播 0.193965847367*信息 0.193965847367*全国 0.161138323589*频道
0.441878823762*NBA 0.244177649131*季后赛 0.122749599807*雷霆 0.0961840960756*快船 0.0950098312246*灰熊
0.310299031788*舌尖上的中国 0.206705947758*舌尖 0.186816657467*篇文章 0.148780120872*推荐 0.147398242115*下载
0.261342305731*马航 0.257442728273*中国 0.203824345936*文章 0.146606850684*事件 0.130783769376*失联
0.297200436464*步步惊情 0.275141783304*爸爸回来了 0.157275066345*卫视 0.148062990853*浙江 0.122319723034*吴尊
0.438833031023*同桌的你 0.16879104641*同桌 0.141062046535*电影 0.133450087566*青春 0.117863788466*现实
0.364577893861*京东 0.261407405364*房事 0.149420005227*兰州 0.112761567989*希望 0.111833127559*商城
0.207136685122*NBA 0.200687819877*切换 0.198495363247*篮球 0.197033561376*无价 0.196646570378*安踏
0.408931601324*打车 0.181591646613*出租车 0.163270227028*欧冠 0.131830512958*司机 0.114376012077*官员
0.308827286446*韩国 0.203021116134*客轮 0.177937915365*沉没 0.167544376582*沉船 0.142669305474*事故
