0.422564737222*余额宝 0.176583064606*银行 0.167202323817*互联网 0.118040950809*金融 0.115608923545*支付宝
0.265912767724*服贸 0.231088375716*台湾 0.210447317602*学生 0.158671911945*行动 0.133879627013*统一
0.319639604447*欧冠 0.319454843365*欧冠 0.133627719324*决赛 0.121680422569*联赛 0.105597410295*曼联
0.377126914059*马航 0.197957066969*飞机 0.168460206905*失联 0.1475362985*MH370 0.108919513567*马来西亚
0.364299657001*马航 0.188907793127*马来西亚 0.177329411661*中国 0.156469694122*政府 0.112993444089*事件
0.434671512883*东莞 0.211095780739*东莞市 0.148985970478*广东 0.108717413981*扫黄 0.0965293219186*消息
0.315879256986*美剧 0.312520577019*美剧 0.177528695531*禁令 0.100787707435*韩剧 0.0932837630283*详情
0.283624677365*美剧 0.271623377548*美剧 0.233687014214*中国 0.10856752986*影响 0.102497401013*马航
0.346449230163*马航 0.236303612677*我是歌手 0.152778409555*北京 0.132330646222*影响 0.132138101383*歌手
0.444457808121*打车 0.185266465832*司机 0.145650299504*软件 0.131279291169*出租车 0.0933461353739*手机
